Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções,Predição
MECANICO REFRIG PL,EMPRESA A,A05327,42,SP,Médio,0,"0,12","1,0","0,0","0,0","1,0","1,0","1,0","0,0",Será desligado
TRATORISTA,EMPRESA B,B01746,42,SP,Baixo,0,"0,12","0,0","0,0","1,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B00758,42,PA,Médio,0,"0,13","0,0","0,0","0,0","3,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B00406,42,SP,Médio,0,"0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B02080,42,SP,Médio,0,"0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
SUPERVISOR,EMPRESA C,C02311,42,SP,Médio,0,"0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
TEC EM SEGURANCA SR,EMPRESA A,A09406,42,SP,Médio,0,"0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B05586,42,MT,Alto,0,"0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
CONFERENTE PL,EMPRESA B,B00266,42,SP,Baixo,0,"0,14","0,0","0,0","0,0","3,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO PL,EMPRESA C,C02128,42,SP,Médio,0,"0,14","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
PORTEIRO,EMPRESA B,B00016,42,SP,Baixo,0,"0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO JR,EMPRESA A,A05332,42,MG,Médio,0,"0,15","1,0","0,0","0,0","1,0","1,0","0,0","0,0",Será desligado
TEC EM SEGURANCA SR,EMPRESA A,A04105,42,MG,Médio,0,"0,15","0,0","0,0","0,0","0,0","1,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO PL,EMPRESA A,A08309,42,SP,Alto,0,"0,15","0,0","0,0","0,0","2,0","0,0","1,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B07132,42,SP,Alto,0,"0,15","0,0","0,0","1,0","1,0","0,0","0,0","0,0",Não sera desligado
LIDER DE CONFERENTE,EMPRESA B,B00259,42,SP,Baixo,0,"0,15","0,0","0,0","0,0","2,0","1,0","0,0","0,0",Será desligado
TEC EM SEGURANCA SR,EMPRESA A,A04139,42,SP,Médio,0,"0,15","0,0","0,0","0,0","2,0","1,0","0,0","0,0",Será desligado
ENCARREGADO,EMPRESA A,A10954,42,MG,Alto,0,"0,16","1,0","0,0","0,0","3,0","1,0","1,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B06442,42,MT,Alto,0,"0,16","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA A,A00401,42,RJ,Médio,0,"0,16","0,0","0,0","0,0","3,0","1,0","0,0","0,0",Será desligado
SOLDADOR,EMPRESA A,A01423,42,RJ,Baixo,0,"0,16","0,0","0,0","0,0","5,0","1,0","0,0","0,0",Será desligado
FERRAMENTEIRO,EMPRESA A,A00361,42,SP,Baixo,0,"0,17","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA A,A09012,42,TO,Alto,0,"0,17","0,0","0,0","0,0","1,0","0,0","1,0","0,0",Será desligado
TEC EM SEGURANCA SR,EMPRESA A,A05612,42,GO,Alto,0,"0,18","0,0","0,0","0,0","0,0","0,0","1,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B04553,42,SP,Médio,0,"0,18","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
TEC EM SEGURANCA SR,EMPRESA A,A09899,42,MG,Alto,0,"0,19","0,0","0,0","0,0","0,0","1,0","0,0","0,0",Será desligado
MECANICO JR,EMPRESA A,A01273,42,MT,Médio,0,"0,19","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B03243,42,SP,Médio,0,"0,19","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B06878,42,SP,Alto,0,"0,19","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
CONFERENTE PL,EMPRESA B,B00474,42,SP,Médio,0,"0,19","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A03830,42,MG,Médio,0,"0,2","0,0","0,0","0,0","1,0","0,0","0,0","1,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA B,B05074,42,MT,Alto,0,"0,2","1,0","0,0","1,0","3,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B03686,42,SP,Médio,0,"0,2","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
MECANICO PL,EMPRESA A,A06402,42,MG,Alto,0,"0,21","0,0","0,0","0,0","0,0","1,0","1,0","0,0",Será desligado
MECANICO REFRIG PL,EMPRESA C,C00355,42,PR,Baixo,0,"0,21","1,0","0,0","1,0","1,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B00430,42,SP,Médio,0,"0,21","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B01087,42,SP,Médio,0,"0,21","0,0","0,0","0,0","3,0","0,0","0,0","0,0",Será desligado
LIDER DE LIMPEZA,EMPRESA B,B06879,42,SP,Alto,0,"0,21","0,0","0,0","0,0","2,0","0,0","1,0","0,0",Será desligado
LIMPADOR DE VIDROS,EMPRESA B,B02088,42,SP,Médio,0,"0,22","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
OFICIAL DE MANUTENCAO,EMPRESA C,C02533,42,SP,Alto,0,"0,22","0,0","0,0","1,0","1,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA A,A01051,42,RJ,Médio,0,"0,23","0,0","0,0","0,0","3,0","0,0","0,0","0,0",Será desligado
LIMPADOR DE VIDROS,EMPRESA B,B00162,42,SP,Baixo,0,"0,23","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
SUPERVISOR,EMPRESA B,B04567,42,SP,Alto,0,"0,23","0,0","0,0","0,0","0,0","1,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B02385,42,BA,Baixo,0,"0,24","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO JR,EMPRESA A,A08657,42,GO,Baixo,0,"0,24","1,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06196,42,MG,Médio,0,"0,24","0,0","0,0","0,0","1,0","1,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A05363,42,MG,Médio,0,"0,24","0,0","0,0","0,0","2,0","1,0","1,0","0,0",Será desligado
ELETR. MANUTENCAO JR,EMPRESA A,A10365,42,MG,Alto,0,"0,24","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
OFICIAL DE MANUTENCAO,EMPRESA A,A08433,42,MG,Médio,0,"0,24","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA A,A05360,42,MG,Médio,0,"0,24","0,0","0,0","0,0","1,0","1,0","1,0","0,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA A,A04947,42,MS,Médio,0,"0,24","0,0","0,0","0,0","4,0","1,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B02003,42,MT,Médio,0,"0,24","1,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA B,B01320,42,MT,Médio,0,"0,24","1,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B05811,42,PE,Médio,0,"0,24","0,0","0,0","0,0","4,0","0,0","1,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B02026,42,PR,Médio,0,"0,24","0,0","0,0","1,0","3,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B04265,42,PR,Alto,0,"0,24","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
OPER. MAQ. COSTAL,EMPRESA B,B07072,42,PR,Alto,0,"0,24","0,0","0,0","1,0","1,0","0,0","0,0","0,0",Não sera desligado
AUX SERV GERAIS,EMPRESA B,B03924,42,RS,Baixo,0,"0,24","0,0","0,0","0,0","1,0","0,0","0,0","1,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B00025,42,SP,Médio,0,"0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B02319,42,SP,Médio,0,"0,24","0,0","0,0","0,0","2,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B05909,42,SP,Alto,0,"0,24","0,0","0,0","0,0","3,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B06553,42,SP,Alto,0,"0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C00434,42,SP,Médio,0,"0,24","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B05639,42,SP,Alto,0,"0,24","0,0","0,0","0,0","1,0","0,0","0,0","0,0",Será desligado
SERRALHEIRO,EMPRESA C,C00636,42,SP,Médio,0,"0,24","0,0","0,0","1,0","0,0","0,0","0,0","0,0",Será desligado
FAXINEIRO INDUSTRIAL,EMPRESA B,B02534,42,BA,Médio,0,"0,25","0,0","0,0","0,0","0,0","1,0","0,0","1,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B02888,42,SP,Médio,0,"0,25","0,0","0,0","0,0","4,0","0,0","0,0","0,0",Será desligado
AUX DE MANUTENCAO JR,EMPRESA A,A03019,42,SP,Médio,0,"0,25","0,0","0,0","0,0","3,0","1,0","0,0","0,0",Será desligado
