Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
AJUDANTE LIMPEZA,EMPRESA B,B05280,39,SP,Alto,1,"2,19","1,0","0,0","0,0","4,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B05269,39,SP,Alto,1,"2,2","0,0","0,0","0,0","1,0","0,0","1,0","2,0"
MECANICO JR,EMPRESA A,A06025,39,MT,Alto,1,"2,23","0,0","0,0","0,0","1,0","1,0","0,0","3,0"
COORD OPERACIONAL,EMPRESA A,A05940,39,MG,Médio,1,"2,28","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
ESPEC. AUTOMACAO SR,EMPRESA A,A05918,39,SP,Alto,1,"2,28","0,0","0,0","0,0","4,0","1,0","0,0","4,0"
AUX SERV GERAIS,EMPRESA A,A05869,39,RJ,Alto,1,"2,33","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
PINTOR PREDIAL,EMPRESA B,B05167,39,MG,Alto,1,"2,34","0,0","0,0","0,0","3,0","0,0","0,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A05705,39,PB,Alto,1,"2,42","0,0","0,0","0,0","4,0","1,0","1,0","3,0"
MECANICO PL,EMPRESA A,A05641,39,MG,Alto,1,"2,44","0,0","0,0","0,0","2,0","1,0","1,0","1,0"
MECANICO SR,EMPRESA A,A05595,39,GO,Alto,1,"2,48","0,0","0,0","1,0","5,0","1,0","1,0","0,0"
OPERADOR DE MAQUINAS,EMPRESA B,B05005,39,SP,Alto,1,"2,56","1,0","0,0","0,0","4,0","0,0","0,0","1,0"
ENCARREGADO PL,EMPRESA A,A05402,39,MG,Alto,1,"2,59","1,0","0,0","0,0","2,0","1,0","1,0","1,0"
MECANICO SR,EMPRESA A,A05406,39,MT,Médio,1,"2,59","0,0","0,0","0,0","0,0","0,0","0,0","2,0"
TEC. ELETRICISTA PL,EMPRESA A,A05284,39,PE,Alto,1,"2,63","1,0","0,0","0,0","1,0","1,0","0,0","1,0"
AUX DE MANUTENCAO JR,EMPRESA A,A05153,39,RJ,Alto,1,"2,69","1,0","0,0","0,0","3,0","0,0","1,0","1,0"
TECNICO MECANICA,EMPRESA A,A04855,39,MG,Alto,1,"2,83","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
ENCARREGADO,EMPRESA A,A04708,39,MG,Alto,1,"2,9","1,0","0,0","0,0","1,0","0,0","1,0","1,0"
AJUDANTE LIMPEZA,EMPRESA B,B04617,39,MT,Alto,1,"2,96","0,0","0,0","1,0","1,0","0,0","0,0","2,0"
MECANICO PL,EMPRESA A,A04490,39,SP,Alto,1,"3,05","0,0","0,0","0,0","0,0","1,0","0,0","1,0"
TEC EM SEGURANCA PL,EMPRESA A,A04423,39,SP,Médio,1,"3,1","0,0","0,0","0,0","1,0","1,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B04038,39,PR,Alto,1,"3,42","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO PL,EMPRESA A,A04095,39,MG,Alto,1,"3,44","0,0","0,0","0,0","3,0","1,0","1,0","3,0"
SUPERVISOR,EMPRESA A,A03969,39,MG,Médio,1,"3,53","1,0","0,0","1,0","2,0","1,0","1,0","3,0"
MECANICO ESPECIALIST,EMPRESA A,A03860,39,MT,Alto,1,"3,61","0,0","0,0","0,0","0,0","0,0","0,0","3,0"
ELETR. MANUTENCAO SR,EMPRESA A,A03348,39,GO,Alto,1,"3,86","1,0","0,0","1,0","5,0","1,0","0,0","2,0"
ASSIST FACILITIES,EMPRESA A,A03334,39,RJ,Alto,1,"3,86","1,0","0,0","0,0","1,0","1,0","1,0","2,0"
SOLDADOR PL,EMPRESA C,C00839,39,SP,Alto,1,"4,76","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
SUPERVISOR DE RH JR,EMPRESA A,A02155,39,SP,Baixo,1,"4,99","1,0","0,0","0,0","0,0","1,0","0,0","4,0"
MARCENEIRO,EMPRESA A,A05689,39,RJ,Alto,1,"5,18","1,0","0,0","1,0","2,0","1,0","1,0","2,0"
MECANICO PL,EMPRESA A,A01496,39,MT,Alto,1,"5,74","0,0","0,0","0,0","0,0","1,0","1,0","4,0"
SUPERVISOR,EMPRESA A,A01384,39,GO,Alto,1,"5,95","1,0","0,0","1,0","4,0","1,0","1,0","3,0"
SUPERVISOR,EMPRESA A,A01387,39,GO,Alto,1,"5,95","1,0","0,0","1,0","2,0","1,0","0,0","6,0"
ASSIST ADM JR,EMPRESA A,A10328,39,MT,Alto,1,"6,06","0,0","0,0","0,0","1,0","1,0","1,0","3,0"
COORD OPERACIONAL,EMPRESA A,A01198,39,MG,Alto,1,"6,3","0,0","0,0","0,0","3,0","1,0","1,0","9,0"
MECANICO SR,EMPRESA A,A01058,39,SP,Alto,1,"6,67","0,0","0,0","0,0","3,0","1,0","1,0","3,0"
SUPERVISOR,EMPRESA A,A00882,39,MG,Alto,1,"7,01","0,0","0,0","0,0","3,0","1,0","0,0","4,0"
MECANICO SR,EMPRESA A,A00895,39,SP,Alto,1,"7,01","0,0","0,0","0,0","5,0","1,0","1,0","4,0"
FUNILEIRO,EMPRESA A,A00142,39,RJ,Alto,1,"8,54","1,0","0,0","0,0","3,0","1,0","1,0","0,0"
